epoch,train_loss,val_loss,train_acc,val_acc
1,3.1935667596967434,3.2028931383371475,0.25925,0.236
2,3.0745232372728757,3.090758335278476,0.294375,0.294
3,3.0187779024994885,3.0391376197205453,0.304125,0.291
4,2.953862697773896,2.9827282331249263,0.34075,0.3145
5,2.931163322792349,2.9646552895130607,0.331375,0.3165
6,2.8852391844849654,2.9192475648883933,0.36,0.3435
7,2.8619613685229846,2.906264995988409,0.359375,0.333
8,2.8367886684241914,2.885327570772125,0.358375,0.333
9,2.8208017789714646,2.8692880190838306,0.3605,0.3375
10,2.7849390203808917,2.829289596997692,0.37475,0.353
11,2.7679464518607713,2.8199307198439683,0.378375,0.3555
12,2.7444734378375033,2.8010858899118656,0.386125,0.3485
13,2.7313635976859745,2.783028852354618,0.37675,0.347
14,2.7037032387950077,2.7616678613998573,0.3955,0.3605
15,2.6899705972340615,2.7533905323936274,0.391125,0.358
16,2.6779680224927187,2.7413400764464293,0.40025,0.3625
17,2.6558488936296203,2.7231473599015916,0.407125,0.3685
18,2.6472968687444256,2.7201042229351007,0.395625,0.3625
19,2.63055000489432,2.701542384877888,0.405375,0.365
20,2.608005080130117,2.6745601421413223,0.418375,0.378
21,2.6029939733385365,2.6752701912712267,0.406875,0.366
22,2.5788400680694625,2.649944598135583,0.422375,0.379
23,2.572213970475616,2.64628316299254,0.416375,0.3765
24,2.556981409383082,2.6341916921168864,0.423625,0.391
25,2.5562525307060087,2.6383024701737257,0.41675,0.374
26,2.536867968089713,2.6124135959335026,0.424375,0.3885
27,2.5220754667385794,2.603807649765956,0.42275,0.3815
28,2.519134766101124,2.6075638848355815,0.423,0.378
29,2.5144771189629003,2.60069912610215,0.416375,0.383
30,2.4889259800126697,2.572747133569037,0.429125,0.3895
31,2.4815449500334186,2.57215097469274,0.431125,0.384
32,2.4722631904673884,2.5600309503473766,0.430875,0.389
33,2.460547555884025,2.548629311400652,0.43625,0.391
34,2.4488958540655865,2.5404981882483106,0.4375,0.3955
35,2.4561030297464903,2.5465439524067626,0.429625,0.3825
36,2.4407023708063607,2.5338063648149287,0.435375,0.3995
37,2.425158084177965,2.5212043651873937,0.438125,0.398
38,2.423190377197228,2.51626830119374,0.432875,0.3905
39,2.4093158617748767,2.5071701900167054,0.442875,0.39
40,2.400547492977705,2.5013854613655906,0.441625,0.3895
41,2.394312985839712,2.4915008026619043,0.441375,0.397
42,2.3841741438550907,2.4878505032116327,0.444875,0.396
43,2.372960242595519,2.474176495902194,0.448,0.4035
44,2.372569571897361,2.4790720962297996,0.43925,0.3885
45,2.364695271640331,2.4716708104056235,0.443875,0.3875
46,2.3556395174592133,2.46301833830071,0.446125,0.399
47,2.357545418525162,2.468318200547115,0.439875,0.3895
48,2.33818303056775,2.447130875571916,0.44825,0.399
49,2.336131411804206,2.445505482974237,0.44675,0.4015
50,2.3264699367724853,2.434355657842625,0.450875,0.396
